Categoria,Nombre_Producto,Descripcion,Precio_Mayorista,Tamano_Bulto,URL_Imagen,Precio_Minorista,Stock
Accesorios de Limpieza,Broches de madera DEA x 12 Unid.,Broches de madera DEA x 12 Unid.,950.00,120,https://davelcor.com.ar/wp-content/uploads/2021/05/Broches-de-madera-DEA-x-12-Unid-240x240.jpg,,100
Accesorios de Limpieza,Broches de plastico DEA x 12 Unid.,Broches de plastico DEA x 12 Unid.,950.00,120,https://davelcor.com.ar/wp-content/uploads/2021/05/Broches-de-plastico-DEA-x-12-Unid--240x240.jpg,,100
Enlatados,Caballa Pennisi x 380 gr. – al natural,Caballa Pennisi x 380 gr. – al natural,3190.00,24,https://davelcor.com.ar/wp-content/uploads/2021/05/Caballa-al-Natural-Pennisi-x-380-gr-240x240.jpg,,100
Accesorios de Limpieza,Cabo de Madera DEA x 1 Unid.,Cabo de Madera DEA x 1 Unid.,1590.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Cabo-madera-con-rosca-DEA-x-12-Unid-240x240.jpg,,100
Accesorios de Limpieza,Cabo de madera Forrado DEA x 1 Unid.,Cabo de madera Forrado DEA x 1 Unid.,1300.00,12,https://davelcor.com.ar/wp-content/uploads/Cabo-de-madera-Forrado-DEA-x-1-Unid-240x240.jpg,,100
Infusiones,Cacao Dulce Speedy x 180 gr.,Cacao Dulce Speedy x 180 gr.,1315.85,10,https://davelcor.com.ar/wp-content/uploads/2021/05/cacao-speedy-x-180-gr-240x240.jpg,,100
Infusiones,Cacao Nesquik x 180 gr.,Cacao Nesquik x 180 gr.,2150.00,18,https://davelcor.com.ar/wp-content/uploads/Cacao-Nesquik-x-180-gr-240x240.jpg,,100
Infusiones,Cacao Toddy x 180 gr.,Cacao Toddy x 180 gr.,1695.00,12,https://davelcor.com.ar/wp-content/uploads/Cacao-Toddy-x-180-gr-240x240.jpg,,100
Infusiones,Cafe ensobrado Velez x 100 Saq.,Cafe ensobrado Velez x 100 Saq.,14550.00,1,https://davelcor.com.ar/wp-content/uploads/2021/05/Cafe-ensobrado-x-100-saq-240x240.jpg,,100
Infusiones,Cafe instant. Velez x 170 gr.,Cafe instant. Velez x 170 gr.,7388.09,6,https://davelcor.com.ar/wp-content/uploads/Cafe-instant.-Velez-x-170-gr-240x240.jpg,,100
Infusiones,Cafe instantaneo Velez x 100 gr.,Cafe instantaneo Velez x 100 gr.,4882.59,6,https://davelcor.com.ar/wp-content/uploads/Cafe-instant.-Velez-x-100-gr-240x240.jpg,,100
Infusiones,Cafe Torrado Molido Velez x 125 gr.,Cafe Torrado Molido Velez x 125 gr.,2800.00,20,https://davelcor.com.ar/wp-content/uploads/2021/05/Cafe-Torrado-Molido-Velez-x-125-gr-240x240.jpg,,100
Infusiones,Cafe Torrado Molido Velez x 250 gr.,Cafe Torrado Molido Velez x 250 gr.,4985.00,20,https://davelcor.com.ar/wp-content/uploads/Cafe-Torrado-Molido-Velez-x-250-gr-240x240.jpg,,100
Infusiones,Cafe Velez x 25 Saq.,Cafe Velez x 25 Saq.,2690.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Cafe-Velez-x-25-saq-240x240.jpg,,100
Caldos y Sopas Knorr,Caldo Carne Knorr de 24 x 2cubos,Caldo Carne Knorr de 24 x 2cubos,12250.00,20,https://davelcor.com.ar/wp-content/uploads/2021/05/Caldo-Carne-Knorr-de-24-x-2cubos-240x240.jpg,,100
Caldos y Sopas Knorr,Caldo Gallina Knorr de 24 x 2cubos,Caldo Gallina Knorr de 24 x 2cubos,12250.00,20,https://davelcor.com.ar/wp-content/uploads/2021/05/Caldo-Gallina-Knorr-de-24-x-2cubos-240x240.jpg,,100
Caldos y Sopas Knorr,Caldo Verduras Knorr de 24 x 2cubos,Caldo Verduras Knorr de 24 x 2cubos,12250.00,20,https://davelcor.com.ar/wp-content/uploads/2021/11/Caldo-Verduras-Knorr-de-24-x-2-cubos-240x240.jpg,,100
Caldos y Sopas Knorr,Caldo Verduras Knorr x 12 cubos,Caldo Verduras Knorr x 12 cubos,2415.00,80,https://davelcor.com.ar/wp-content/uploads/2021/05/Caldo-Verduras-Knorr-x-12-cubos-240x240.jpg,,100
Aderezos y Condimentos Velez,Canela Molida Velez x 25 gr.,Canela Molida Velez x 25 gr.,780.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Canela-Molida-Velez-x-25-gr-240x240.jpg,,100
Golosinas,Caramelos Alka x 800 gr. – Cherry,Caramelos Alka x 800 gr. – Cherry,11000.00,10,https://davelcor.com.ar/wp-content/uploads/Photoroom-20250730_120436_4-copia-240x240.jpg,,100
Golosinas,Caramelos Alka x 800 gr. – Cremoso,Caramelos Alka x 800 gr. – Cremoso,11000.00,10,https://davelcor.com.ar/wp-content/uploads/2021/05/Caramelos-Alka-x-800-gr.-Cremoso-240x240.jpg,,100
Golosinas,Caramelos Alka x 800 gr. – Strong,Caramelos Alka x 800 gr. – Strong,11000.00,10,https://davelcor.com.ar/wp-content/uploads/Caramelos-Alka-x-800-gr.-Strong-240x240.jpg,,100
Golosinas,Caramelos Cherry cristal Misky x 465 gr.,Caramelos Cherry cristal Misky x 465 gr.,4100.00,12,https://davelcor.com.ar/wp-content/uploads/2021/05/Caramelos-Cherry-cristal-Misky-x-405-gr-240x240.jpg,,100
Golosinas,Caramelos Menta cristal Misky x 800 gr.,Caramelos Menta cristal Misky x 800 gr.,9300.00,6,https://davelcor.com.ar/wp-content/uploads/Caramelos-Menta-cristal-Misky-x-800-gr-240x240.jpg,,100
